id,pdf,txt,q1,q2,q3,q4,q5,q6,metadata
47,"The effects of a range of concentrations of four nutrients – nitrogen, phosphorus, potassium and calcium – in fertilizer
solutions on the severity of anthracnose on strawberry cv. Nyoho cultivated under a noncirculation hydroponics system
were determined after inoculation with
Colletotrichum gloeosporioides
. Crop growth and tissue nitrogen, phosphorus,
potassium and calcium contents of the entire above-ground parts of the plant were also investigated. Elevated nitrogen
and potassium concentrations in the fertilizer solution increased disease severity in contrast to phosphorus and calcium.
Treatment with either NH
4
or NO
3
nitrogen was not significantly different. The dry weight of the strawberry plants
increased significantly with elevated concentrations of nitrogen (
R
2
= 0·9078) and phosphorus (
R
2
= 0·8842), but was
not influenced by the elevated amounts of potassium (
R
2
= 0·8587) and calcium (
R
2
= 0·6526) concentrations.
Keywords
:
Colletotrichum gloeosporioides
, disease severity, fertilizer, macronutrients, strawberry anthracnose","The effects of varying concentrations of four nutrients—nitrogen, phosphorus, potassium, and calcium—in fertilizer solutions on the severity of anthracnose in strawberry cv. Nyoho, cultivated under a non-circulation hydroponics system, were determined after inoculation with Colletotrichum gloeosporioides. Crop growth and tissue contents of nitrogen, phosphorus, potassium, and calcium in the entire above-ground parts of the plant were also investigated. Elevated concentrations of nitrogen and potassium in the fertilizer solution increased disease severity, unlike phosphorus and calcium. There was no significant difference between treatments with NH₄ and NO₃ nitrogen. The dry weight of the strawberry plants increased significantly with higher concentrations of nitrogen (R² = 0.9078) and phosphorus (R² = 0.8842), but was not influenced by elevated amounts of potassium (R² = 0.8587) and calcium (R² = 0.6526).

Keywords: Colletotrichum gloeosporioides, disease severity, fertilizer, macronutrients, strawberry anthracnose","How do different concentrations of nitrogen, phosphorus, potassium, and calcium in fertilizer solutions affect the severity of anthracnose in strawberry plants?",What impact do varying levels of nitrogen and phosphorus have on the dry weight of strawberry plants compared to potassium and calcium?,Is there a significant difference in disease severity between treatments using NH₄ and NO₃ nitrogen?,Did elevated concentrations of nitrogen and potassium increase the severity of anthracnose?,Was there a significant difference in the dry weight of strawberry plants between treatments with higher concentrations of potassium and calcium?,Did the study find a significant impact of phosphorus on disease severity in strawberry plants?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
48,"In Korea, strawberries (
Fragaria
×
ananassa
) are favoured
for winter cultivation when the production of other vegetables
and fruits is relatively low. In 2003 strawberries
were planted on a total area of 7503 ha in Korea, with
plastic greenhouse cultivation comprising 7172 ha and
production for fresh market totalling 205 427 tonnes
(Anonymous, 2004). The use of forcing, where strawberries
are transplanted into greenhouses in mid-September
and forced into fruiting in December (Oda, 1991), is
increasing in Korea. June-bearing cultivars such as Maehyang,
Akihime and Nyoho used for forcing have proven
difficult to grow due to their susceptibility to anthracnose
(Nam
et al
., 1998; Kim & Nam, 1999). Anthracnose is
one of the most damaging diseases of strawberries, causing
wilting and death of transplants in the nursery field.
The pathogen known to be responsible for the disease in
Korea is
Colletotrichum gloeosporioides
and was initially
reported in 1992 (Kim
et al
., 1992).","In Korea, strawberries (Fragaria × ananassa) are favored for winter cultivation when the production of other vegetables and fruits is relatively low. In 2003, strawberries were planted on a total area of 7,503 hectares in Korea, with plastic greenhouse cultivation comprising 7,172 hectares and production for the fresh market totaling 205,427 tonnes. The use of forcing, where strawberries are transplanted into greenhouses in mid-September and forced into fruiting in December, is increasing in Korea. June-bearing cultivars such as Maehyang, Akihime, and Nyoho used for forcing have proven difficult to grow due to their susceptibility to anthracnose. Anthracnose is one of the most damaging diseases of strawberries, causing wilting and death of transplants in the nursery field. The pathogen responsible for the disease in Korea is Colletotrichum gloeosporioides, which was initially reported in 1992.",What is the reason for the popularity of strawberry cultivation in Korea during winter?,How has the use of forcing techniques affected strawberry cultivation in Korea?,"Why are June-bearing cultivars like Maehyang, Akihime, and Nyoho challenging to grow in Korea?","Was the total area of strawberry cultivation in Korea 7,503 hectares in 2003?",Is Colletotrichum gloeosporioides the pathogen responsible for anthracnose in strawberries in Korea?,Did the forcing technique for strawberries in Korea involve planting in mid-September and forcing fruiting in December?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
49,"The nutritional status of a plant has a major impact on
susceptibility to disease, and this has been exploited for
the reduction of disease severity (Huber & Watson, 1974;
Engelhard, 1989; Huber & McCay-Buis, 1993). In particular,
nitrogen, and the form of nitrogen used, can be
influential. For example, black root rot complex (
Rhizoctonia
fragariae
/
Pratylenchus penetrans
) of strawberries
was suppressed by application of (NH
4
)
2
SO
4
(Elmer &
LaMondia, 1999), and
C. phomoides
was controlled
using NH
4
-N fertilizer (Williams, 1965). However, the
severity of fusarium disease of tomato (Duffy & Dèfago,
1999) and anthracnose (
C. gossypii
) of cotton (Huber &
Watson, 1974) was elevated with NH
4
-N. Similarly, rice
blast disease (
Magnaporthe grisea
) is exacerbated in the
presence of excess nitrogen (Teng, 1994). In contrast,
when calcium was applied, tomato showed increased
resistance to fusarium wilt (Woltz
et al
., 1992).","The nutritional status of a plant significantly impacts its susceptibility to disease, and this has been leveraged to reduce disease severity. In particular, nitrogen and its form can be influential. For instance, black root rot complex (Rhizoctonia fragariae/Pratylenchus penetrans) in strawberries was suppressed by applying (NH₄)₂SO₄, and C. phomoides was controlled using NH₄-N fertilizer. However, the severity of fusarium disease in tomatoes and anthracnose (C. gossypii) in cotton was increased with NH₄-N. Similarly, rice blast disease (Magnaporthe grisea) is exacerbated by excess nitrogen. In contrast, the application of calcium increased resistance to fusarium wilt in tomatoes.",How does the form of nitrogen affect the susceptibility of plants to various diseases?,What role does calcium play in the resistance of plants to specific diseases?,Which diseases are exacerbated by the application of NH₄-N fertilizer?,Did the application of (NH₄)₂SO₄ suppress black root rot complex in strawberries?,Was the severity of anthracnose in cotton increased with NH₄-N?,Does excess nitrogen exacerbate rice blast disease?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
50,"Little is currently known about the influence of plant
nutrition on anthracnose of strawberry. The purpose of
this study was to investigate the effects of concentration of
nitrogen, phosphorus, potassium and calcium on the
development of strawberry anthracnose, with the aim of
developing practical strategies to manage the disease.","Little is currently known about the influence of plant nutrition on anthracnose of strawberry. The purpose of this study was to investigate the effects of nitrogen, phosphorus, potassium, and calcium concentrations on the development of strawberry anthracnose, with the aim of developing practical strategies to manage the disease.",What is the main goal of the study mentioned in the passage?,Which nutrients are being investigated for their impact on strawberry anthracnose?,What is the current state of knowledge regarding the influence of plant nutrition on strawberry anthracnose?,Is the purpose of the study to develop practical strategies to manage strawberry anthracnose?,"Are the effects of nitrogen, phosphorus, potassium, and calcium concentrations being investigated in relation to strawberry anthracnose?",Is there currently a lot known about the influence of plant nutrition on strawberry anthracnose?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
51,"Plant preparation
Tissue-cultured seedlings of strawberry cv. Nyoho at the
three-leaf stage were transplanted into 15 cm (1·6 L) plastic
pots containing perlite. Transplants were irrigated for
a month with distilled water to leach out nutrients contained
in the perlite. This also lowered the tissue nutrient
content of the strawberry plants. Following this, plants
were watered with the nutrient treatment solution every
2 days for 50 days.","Plant Preparation
Tissue-cultured seedlings of strawberry cv. Nyoho at the three-leaf stage were transplanted into 15 cm (1.6 L) plastic pots containing perlite. The transplants were irrigated with distilled water for a month to leach out the nutrients contained in the perlite and to lower the tissue nutrient content of the strawberry plants. Following this, the plants were watered with the nutrient treatment solution every 2 days for 50 days.",At what stage were the strawberry seedlings transplanted into the plastic pots?,What was the purpose of irrigating the transplants with distilled water for a month?,How frequently were the plants watered with the nutrient treatment solution?,Were the strawberry seedlings of cv. Nyoho transplanted into plastic pots containing perlite?,Was the purpose of using distilled water to leach out nutrients from the perlite?,Did the plants receive the nutrient treatment solution every 2 days for a total of 50 days?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
52,"Table 1 Composition of nutrient solutions applied to strawberry plants
Treatment
(mM)
Nutrient
N P K Ca Mg SO4
N
0 0 2 14 5 2 5
5 5 2 14 5 2 5
10 10 1 14 5 2 5
15 15 1 14 5 2 5
20 20 1 14 5 2 5
30 30 1 14 5 2 5
P
0 15 0 15 5 2 5
0·25 15 0·25 14·25 5 2 5
0·5 15 0·5 14·5 5 2 5
0·75 15 0·75 14·75 5 2 5
1 15 1 15 5 2 5
3 15 3 17 5 2 5
K
0 15 1 0 5 2 2
10 15 1 10 5 2 2
20 15 1 20 5 2 4
30 15 1 30 5 2 6
Ca
0 15 1 15 0 2 2
1·5 15 1 15 1·5 2 2
3·0 15 1 15 3·0 2 2
4·5 15 1 15 4·5 2 2
6·0 15 1 15 6·0 2 2
The following micronutrients were applied to all pots: MnCl2·4H2O
(1·8 g L−1), H3BO3 (2·86 g L−1), ZnSO4·7H2O (0·22 g L−1), CuSO4·5H2O
(0·08 g L−1), H2MoO4·H2O (0·09 g L−1), Na2FeEDTA (0·79 g L−1).","Table 1: Composition of Nutrient Solutions Applied to Strawberry Plants

Treatment        N (mM)        P (mM)        K (mM)        Ca (mM)        Mg (mM)        SO₄ (mM)
N                                                
0        0        0        2        14        5        2
5        5        5        2        14        5        2
10        10        10        1        14        5        2
15        15        15        1        14        5        2
20        20        20        1        14        5        2
30        30        30        1        14        5        2
P                                                
0        15        0        15        5        2        5
0.25        15        0.25        14.25        5        2        5
0.5        15        0.5        14.5        5        2        5
0.75        15        0.75        14.75        5        2        5
1        15        1        15        5        2        5
3        15        3        17        5        2        5
K                                                
0        15        1        0        5        2        2
10        15        1        10        5        2        2
20        15        1        20        5        2        4
30        15        1        30        5        2        6
Ca                                                
0        15        1        15        0        2        2
1.5        15        1        15        1.5        2        2
3.0        15        1        15        3.0        2        2
4.5        15        1        15        4.5        2        2
6.0        15        1        15        6.0        2        2
The following micronutrients were applied to all pots: MnCl₂·4H₂O (1.8 g/L), H₃BO₃ (2.86 g/L), ZnSO₄·7H₂O (0.22 g/L), CuSO₄·5H₂O (0.08 g/L), H₂MoO₄·H₂O (0.09 g/L), Na₂FeEDTA (0.79 g/L).
","What are the different concentrations of nitrogen, phosphorus, potassium, and calcium used in the nutrient solutions for the strawberry plants?",How do the concentrations of magnesium and sulfate compare across the different treatments in the nutrient solutions?,Which micronutrients were consistently applied to all pots?,Were different levels of nitrogen applied in the nutrient solutions?,Did the potassium concentrations vary in the treatments listed?,Was calcium included in all the nutrient solution treatments?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
53,"Nutrient solutions
Hoagland nutrient solution (Hoagland & Arnon, 1950)
was modified to make treatment solutions containing 0, 5,
10, 15, 20 and 30 m
m
nitrogen; 0, 0·25, 0·5, 0·75, 1 and
3 m
m
phosphorus; 0, 10, 20 and 30 m
m
potassium; or 0,
1·5, 3, 4·5 and 6·0 m
m
calcium. The composition and
chemical sources of micronutrients are shown in Table 1.
The pH of all treatment solutions were adjusted to 6·5
using 1 N HCl or KOH. The effect of the form of nitrogen
was tested by comparing 5, 10 and 15 m
m
nitrate and
ammonium compounds.","Nutrient Solutions
Hoagland nutrient solution (Hoagland & Arnon, 1950) was modified to create treatment solutions with the following concentrations: 0, 5, 10, 15, 20, and 30 mM nitrogen; 0, 0.25, 0.5, 0.75, 1, and 3 mM phosphorus; 0, 10, 20, and 30 mM potassium; and 0, 1.5, 3, 4.5, and 6.0 mM calcium. The composition and chemical sources of micronutrients are detailed in Table 1. The pH of all treatment solutions was adjusted to 6.5 using 1 N HCl or KOH. The effect of the form of nitrogen was tested by comparing 5, 10, and 15 mM nitrate and ammonium compounds.","What concentrations of nitrogen, phosphorus, potassium, and calcium were used in the modified Hoagland nutrient solutions?",How was the pH of the treatment solutions adjusted?,What was the purpose of comparing nitrate and ammonium compounds in the study?,Was the pH of all treatment solutions adjusted to 6.5?,Did the study test the effects of different forms of nitrogen?,Were the concentrations of phosphorus and potassium the same in all treatment solutions?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
54,"Cultural practice
The experimental design was a completely randomized
plot with five replications. Pots were placed 25 cm apart
in rows. The experiment was conducted in a glasshouse
with a temperature range of 17–18
°
C at night and 24–
28
°
C during the day. The relative humidity ranged from
40 to 80%, and daylight intensity from 550 to 1200 mol
m
−
2
s
−
1
during the experimental period.","Cultural Practice
The experimental design was a completely randomized plot with five replications. Pots were placed 25 cm apart in rows. The experiment was conducted in a glasshouse with a temperature range of 17–18°C at night and 24–28°C during the day. Relative humidity ranged from 40 to 80%, and daylight intensity varied from 550 to 1200 µmol m⁻² s⁻¹ during the experimental period.","What was the experimental design used in the study, and how many replications were there?",What were the temperature and relative humidity conditions in the glasshouse during the experiment?,How did the daylight intensity vary during the experimental period?,Was the experimental design a completely randomized plot with five replications?,Did the temperature in the glasshouse range from 17–18°C at night and 24–28°C during the day?,Was the relative humidity in the glasshouse between 40% and 80%?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
55,"Plant analysis
Plant tissue was sampled from shoots after 1 month of
nutrient solution treatments. Tissue samples were washed
with 0·2 N HCl for 1 min, rinsed with distilled water,
dried for 2 days at 70
°
C, and ground in a Wiley mill to pass
through the 1 mm particle size sieve. Total N was determined
by a modified Kjeldahl procedure which included
a salicylic acid pretreatment to aid in the reduction of NO
3
(Eastin, 1978). Tissue used for P, K and Ca analysis
was dry-ashed at 500
°
C, dehydrated in HCl and finally
dissolved in 0·5 N HCl. Analysis of K and Ca was done by
atomic absorption spectrometry, and colorimetric analysis
was performed for P (Chapman & Pratt, 1961).","Plant Analysis
Plant tissue was sampled from shoots after 1 month of nutrient solution treatments. Tissue samples were washed with 0.2 N HCl for 1 minute, rinsed with distilled water, dried for 2 days at 70°C, and ground in a Wiley mill to pass through a 1 mm particle size sieve. Total nitrogen was determined by a modified Kjeldahl procedure, which included a salicylic acid pretreatment to aid in the reduction of NO₃⁻. Tissue samples used for phosphorus, potassium, and calcium analysis were dry-ashed at 500°C, dehydrated in HCl, and finally dissolved in 0.5 N HCl. Potassium and calcium were analyzed by atomic absorption spectrometry, while phosphorus was determined by colorimetric analysis.",What method was used to determine total nitrogen in the plant tissue samples?,"How were the plant tissue samples prepared for analysis of phosphorus, potassium, and calcium?",Which techniques were used to analyze potassium and calcium in the plant tissue samples?,Were plant tissue samples dried for 2 days at 70°C before grinding?,Was total nitrogen determined using a modified Kjeldahl procedure with salicylic acid pretreatment?,Did the analysis for potassium and calcium involve atomic absorption spectrometry?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
56,"Inoculation and disease assessment
Growth characteristics were determined for plants after
1 month of nutrient solution treatments. Inoculum of
C. gloeosporioides
(CGF43) was prepared at 10
6
conidia
mL
−
1
and sprayed on the plants. The inoculated plants
were incubated in dew chamber at 30
°
C and 100% RH
for 2 days and then moved to a glasshouse held between
24 and 28
°
C (Gupton & Smith, 1991). After 17 days, the
disease severity on each plant was rated. Disease severity
was rated as a disease index (DI) on a scale of 0–4, as
follows: 0, healthy; 1, < 50% of petioles affected; 2,
≥
50%
of petioles affected; 3, wilted; 4, necrosis formed on entire
plants (Ishikawa
et al
., 1989).","Inoculation and Disease Assessment
Growth characteristics were assessed for plants after 1 month of nutrient solution treatments. Inoculum of C. gloeosporioides (CGF43) was prepared at 10⁶ conidia/mL and sprayed on the plants. The inoculated plants were incubated in a dew chamber at 30°C and 100% relative humidity for 2 days, then moved to a glasshouse maintained at 24–28°C. After 17 days, disease severity on each plant was rated using a disease index (DI) scale of 0–4: 0 = healthy; 1 = < 50% of petioles affected; 2 = ≥ 50% of petioles affected; 3 = wilted; 4 = necrosis on entire plants.",How was the inoculum of C. gloeosporioides prepared for the experiment?,What were the conditions in the dew chamber during the incubation period for the inoculated plants?,"What is the disease index (DI) scale used to rate disease severity, and what do the different scores represent?",Were the plants incubated in a dew chamber at 30°C and 100% relative humidity?,Was the disease severity assessed after 17 days in a glasshouse at 24–28°C?,Did the disease index (DI) scale range from 0 to 4?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
57,"Data analysis
Data from nutrient concentrations and different nitrogen
source trials were subjected to analysis of variance, and
treatment means were compared by Duncan’s multiple
range test at
P
= 0·05. The relationships between nutrient
concentrations and dry weight, and nutrient concentrations
and disease index, were evaluated using regression
analysis (Duffy & Dèfago, 1999; Choi
et al
., 2000). All
data analysis was performed using the SAS program (SAS
Institute, Inc., USA).","Data Analysis
Data from nutrient concentrations and different nitrogen source trials were subjected to analysis of variance, and treatment means were compared using Duncan’s multiple range test at P=0.05. The relationships between nutrient concentrations and dry weight, as well as between nutrient concentrations and disease index, were evaluated using regression analysis. All data analyses were performed using the SAS program (SAS Institute, Inc., USA).",What statistical methods were used to analyze data from the nutrient concentrations and different nitrogen source trials?,"How were the relationships between nutrient concentrations and dry weight, and between nutrient concentrations and disease index, evaluated?",Which software program was used for performing data analyses?,Was analysis of variance used to analyze data from the nutrient concentrations and nitrogen source trials?,Did the study use regression analysis to evaluate relationships between nutrient concentrations and dry weight?,Was Duncan’s multiple range test used to compare treatment means?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
58,"Dry weight of strawberry plants was greatest when provided
with 30 m
m
nitrogen, 1 m
m
phosphorus, 10 m
m
potassium,
and 3 m
m
calcium (Table 2).","Dry weight of strawberry plants was greatest when provided with 30 mM nitrogen, 1 mM phosphorus, 10 mM potassium, and 3 mM calcium (Table 2).",What nutrient concentrations resulted in the greatest dry weight of strawberry plants?,Which concentration of calcium was associated with the highest dry weight of strawberry plants?,How do the nutrient concentrations for maximum dry weight compare to other treatments listed in Table 2?,Was the greatest dry weight of strawberry plants achieved with 30 mM nitrogen?,Did 1 mM phosphorus contribute to the maximum dry weight of the plants?,Was the concentration of potassium at 10 mM associated with the highest dry weight?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
59,"Anthracnose symptoms first appeared in the nitrogen
treatment approximately 2 weeks after inoculation. A
positive correlation (adjusted (Adj)
R
2
= 0·96) was found
between nitrogen concentration of treatment solution and
anthracnose disease (Fig. 1a). Disease was greatest (DI
∼
3) at a nitrogen concentration of 30 m
m
. Anthracnose
tended to be more severe in treatments receiving NH
4
than
NO
3
, but these differences were not significant according
to Duncan’s multiple range test (
P =
0·05) (Fig. 2). A similar
positive relationship (adjusted
R
2
= 0·84) between disease
and potassium concentration of treatment solution was
shown, with a maximum DI of
∼
3 at 30 m
m
potassium
(Fig. 1c). In contrast, neither increasing concentrations
of calcium (
P =
0·62) nor those of phosphorus (
P =
0·68)
had a patterned effect on disease (Fig. 1b and d). For all
treatments, the relative dry matter content of each nutrient
in the test plants increased with increasing concentration
in the treatment solution (Fig. 1).","Anthracnose symptoms first appeared in the nitrogen treatment approximately 2 weeks after inoculation. A positive correlation (adjusted R2=0.96) was found between nitrogen concentration in the treatment solution and anthracnose severity (Fig. 1a). The disease was most severe (DI ≈ 3) at a nitrogen concentration of 30 mM. Anthracnose tended to be more severe in treatments receiving NH₄⁺ compared to NO₃⁻, but these differences were not significant according to Duncan’s multiple range test (P=0.05) (Fig. 2). A similar positive relationship (adjusted R2=0.84) between disease severity and potassium concentration was observed, with a maximum DI of ≈ 3 at 30 mM potassium (Fig. 1c). In contrast, increasing concentrations of calcium (P=0.62) and phosphorus (P=0.68) did not show a patterned effect on disease severity (Fig. 1b and d). For all treatments, the relative dry matter content of each nutrient in the test plants increased with increasing concentration in the treatment solution (Fig. 1).",What was the relationship between nitrogen concentration and anthracnose severity?,How did anthracnose severity in treatments with NH₄⁺ compare to those with NO₃⁻?,Did increasing concentrations of calcium and phosphorus show a patterned effect on anthracnose severity?,Was a positive correlation found between nitrogen concentration and anthracnose severity?,Did the severity of anthracnose reach its maximum at a nitrogen concentration of 30 mM?,Were the differences in disease severity between NH₄⁺ and NO₃⁻ significant according to Duncan’s multiple range test?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
60,"Figure 1 Development of anthracnose (scatter plot with error bars) and nutrient concentration (vertical bars) in strawberry plants treated with
different concentrations of nitrogen (a), phosphorus (b), potassium (c) and calcium (d). Disease index: 0, healthy; 1, < 50% petioles affected;
2, ≥ 50% petioles affected; 3, wilted; 4, necrosis formed on entire plants. Adjusted regression coefficients and line derivations in (a) and (c) were
significant (P ≤ 0·05). Differences in (b) and (d) were nonsignificant (P ≥ 0·62). Error bars represent ± standard error of mean.","Figure 1: Development of anthracnose (scatter plot with error bars) and nutrient concentration (vertical bars) in strawberry plants treated with different concentrations of nitrogen (a), phosphorus (b), potassium (c), and calcium (d). Disease index: 0 = healthy; 1 = < 50% petioles affected; 2 = ≥ 50% petioles affected; 3 = wilted; 4 = necrosis on entire plants. Adjusted regression coefficients and line fits in (a) and (c) were significant (P≤0.05). Differences in (b) and (d) were nonsignificant (P≥0.62). Error bars represent ± standard error of the mean.",How are anthracnose development and nutrient concentration represented in Figure 1?,What does the disease index in Figure 1 indicate about the severity of anthracnose?,Which figures in Figure 1 showed significant regression coefficients and line fits?,Does Figure 1 include scatter plots with error bars to show anthracnose development?,Are the differences in disease severity for phosphorus and calcium significant according to Figure 1?,Do the error bars in Figure 1 represent the standard error of the mean?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
61,"Nutrient
Concentration
giving greatest
dry weight (mM) Regression equation R2 P
Nitrogen 30 y = 5·08 + 0·44x − 0·006x2 0·9078 0·02
Phosphorus 1 y = 5·49 + 5·04x − 1·34x2 0·8842 0·03
Potassium 10 y = 5·79 + 0·23x − 0·007x2 0·8587 0·37
Calcium 3 y = 5·63 + 2·14x − 0·33x2 0·6526 0·34
Table 2 Analysis of regression relating
concentration of individual nutrients to
strawberry plant dry weight",Table 2: Analysis of Regression Relating Concentration of Individual Nutrients to Strawberry Plant Dry Weight,What does Table 2 analyze regarding the relationship between nutrient concentrations and strawberry plant dry weight?,Which individual nutrients are considered in the regression analysis shown in Table 2?,What type of data or statistical information might be presented in Table 2?,Does Table 2 involve a regression analysis related to nutrient concentrations and dry weight?,Are individual nutrients analyzed separately in Table 2?,Is the focus of Table 2 on the dry weight of strawberry plants?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
62,"Previous studies have shown correlations between
nitrogen concentration and severity of anthracnose, as in
the case of cotton (Huber & Watson, 1974). Previously,
Choi
et al
. (2000) showed that, as tissue nitrogen content
decreased, Ca and Mn contents, which have a direct role
in phenolic metabolism, increased in the strawberry. Manganese
may increase synthesis of host defence products
and thereby reduce disease incidence and/or severity
(Huber & McCay-Buis, 1993), whilst calcium has been
shown to inhibit anthracnose (caused by
C. gloeosporioides
or
C. acutatum
) in apples (Biggs, 1999) and decrease
postharvest disease development on strawberry (Cheour
et al
., 1990). Woltz
et al
. (1992) also found that treatment
with CaCO
3
(3·0 kg m
−
3
) in tomato reduced fusarium
crown rot disease. Calcium may be important for resistance
against certain cell-wall-degrading enzymes produced
by fungal pathogens (Conway & Sams, 1984; Biggs
& Peterson, 1990). However, in this study, no effect was
found of calcium content on anthracnose disease in strawberry.
As manganese content is increased under low nitrogen
conditions in plants, additional work is needed to
determine whether manganese levels are related to anthracnose
development. Phosphorus supplied as phosphite was
effective at reducing phytophthora root and crown rot
on tomato and pepper plants but also suppressed plant
growth (Förster
et al
., 1998). In the study reported here,
phosphorus concentration had no influence on anthracnose
development.","Previous studies have shown correlations between nitrogen concentration and the severity of anthracnose, similar to observations in cotton (Huber & Watson, 1974). Choi et al. (2000) demonstrated that as tissue nitrogen content decreased, the contents of calcium (Ca) and manganese (Mn), which play a direct role in phenolic metabolism, increased in strawberries. Manganese may enhance the synthesis of host defense products and thereby reduce disease incidence and/or severity (Huber & McCay-Buis, 1993). Calcium has been shown to inhibit anthracnose caused by C. gloeosporioides or C. acutatum in apples (Biggs, 1999) and to decrease postharvest disease development in strawberries (Cheour et al., 1990). Woltz et al. (1992) also found that treatment with CaCO₃ (3.0 kg/m³) in tomatoes reduced fusarium crown rot disease. Calcium may be crucial for resistance against certain cell-wall-degrading enzymes produced by fungal pathogens (Conway & Sams, 1984; Biggs & Peterson, 1990). However, in this study, no effect of calcium content on anthracnose disease in strawberries was observed. As manganese content increases under low nitrogen conditions in plants, further research is needed to determine whether manganese levels are related to anthracnose development. Phosphorus supplied as phosphite was effective in reducing Phytophthora root and crown rot on tomato and pepper plants but also suppressed plant growth (Förster et al., 1998). In the study reported here, phosphorus concentration had no influence on anthracnose development.",How does the study relate to previous research on nitrogen concentration and anthracnose severity?,"What roles do calcium and manganese play in the defense against diseases, according to previous studies mentioned?",Why might further research be needed regarding manganese levels and anthracnose development?,Did previous studies find a correlation between nitrogen concentration and anthracnose severity similar to those observed in cotton?,Was calcium effective in reducing anthracnose caused by C. gloeosporioides or C. acutatum in apples?,Did the study find phosphorus concentration to have an influence on anthracnose development in strawberries?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
63,"Figure 2 Comparison of anthracnose severity between strawberry
plants treated with different nitrogen sources. Disease index: 0, healthy;
1, < 50% petioles affected; 2, ≥ 50% petioles affected; 3, wilted;
4, necrosis formed on entire plants. Vertical bars represent ±
standard error of mean.",Figure 2: Comparison of anthracnose severity between strawberry plants treated with different nitrogen sources. Disease index: 0 = healthy; 1 = < 50% petioles affected; 2 = ≥ 50% petioles affected; 3 = wilted; 4 = necrosis on entire plants. Vertical bars represent ± standard error of the mean.,What does Figure 2 compare regarding anthracnose severity in strawberry plants?,How is the disease index defined in Figure 2?,What do the vertical bars in Figure 2 represent?,Does Figure 2 show a comparison of anthracnose severity between plants treated with different nitrogen sources?,Is the disease index in Figure 2 defined with scores ranging from 0 to 4?,Do the vertical bars in Figure 2 represent the standard error of the mean?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
64,"Strawberry prefers NH4 to NO3 nitrogen for optimal
growth (Park, 1990). Other studies have shown the use
of the former increases cotton anthracnose (Bollenbacher
& Fulton, 1971) and fusarium crown rot severity (Woltz
et al., 1992) more than the use of nitrate. It was found
on average that strawberry plants receiving ammonium
nitrogen had more disease than those receiving nitrate
treatments, but these differences were not significant.","Strawberries prefer NH₄⁺ to NO₃⁻ nitrogen for optimal growth (Park, 1990). Other studies have shown that the use of NH₄⁺ increases anthracnose in cotton (Bollenbacher & Fulton, 1971) and fusarium crown rot severity (Woltz et al., 1992) more than the use of nitrate. In this study, strawberry plants receiving ammonium nitrogen generally had more disease than those receiving nitrate treatments, but these differences were not significant.",How does the preference for NH₄⁺ over NO₃⁻ nitrogen affect strawberry growth?,What impact does NH₄⁺ have on anthracnose in cotton and fusarium crown rot severity according to other studies?,Were there significant differences in disease severity between strawberry plants receiving ammonium nitrogen and those receiving nitrate treatments in this study?,Did the study find that NH₄⁺ nitrogen generally led to more disease in strawberries compared to nitrate treatments?,Was the preference for NH₄⁺ nitrogen for optimal growth in strawberries mentioned in Park (1990)?,Did other studies report that NH₄⁺ increases anthracnose in cotton and fusarium crown rot severity more than nitrate?,"Effects of nitrogen, phosphorus, potassium and calcium.pdf"
